n    , L1AlgoName                                                     , 2.20   , 2.00   , 2.01   , 2.02   , 1.80   , 1.81    POG         , PAG           , Comment                         , uGT 
152  , L1_QuadJet60er3p0                                              , 1      , 1      , 1      , 1      , 1      , 1      , Jet         , Slim|AlCa     ,                                 ,     
160  , L1_HTT120er                                                    , 7000   , 5400   , 7400   , 7400   , 5000   , 6600   , Sum         , Slim|AlCa     ,                                 ,     
161  , L1_HTT160er                                                    , 2000   , 1800   , 2400   , 2400   , 1500   , 2000   , Sum         , Slim          ,                                 ,     
162  , L1_HTT200er                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
163  , L1_HTT220er                                                    , 600    , 400    , 600    , 600    , 300    , 540    , Sum         , Slim          ,                                 ,     
164  , L1_HTT240er                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
165  , L1_HTT255er                                                    , 300    , 200    , 300    , 300    , 140    , 270    , Sum         , Slim          ,                                 ,     
166  , L1_HTT270er                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
167  , L1_HTT280er                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
168  , L1_HTT300er                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
169  , L1_HTT320er                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
170  , L1_HTT340er                                                    , 0      , 0      , 0      , 0      , 0      , 0      , Sum         , Slim          ,                                 ,     
175  , L1_HTT360er                                                    , 0      , 0      , 0      , 0      , 1      , 0      , Sum         , Slim          ,                                 , Add 
171  , L1_HTT380er                                                    , 0      , 1      , 1      , 1      , 1      , 1      , Sum         , Slim          ,                                 ,     
172  , L1_HTT400er                                                    , 1      , 1      , 1      , 1      , 1      , 1      , Sum         , Slim          ,                                 ,     
173  , L1_HTT450er                                                    , 1      , 1      , 1      , 1      , 1      , 1      , Sum         , Slim          ,                                 ,     
